Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
700	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.615439		$\gamma$
800	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621655000000001		$\gamma$
900	0.6998000000000001	0.0	0.174	0.0741	0.0	0.0435	0.0027	0.0059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.628028		$\gamma$
1000	0.7132	0.0	0.14400000000000002	0.066	0.0	0.0635	0.0048	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.634692		$\gamma$
1100	0.7226	0.0	0.1144	0.0547	0.0	0.0891	0.0077	0.0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.638894		$\gamma$
25	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.593427		$\gamma$
300	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.605732		$\gamma$
500	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.614403		$\gamma$
600	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.619285		$\gamma$
700	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.624057		$\gamma$
800	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.629658		$\gamma$
900	0.6887000000000001	0.0	0.17010000000000006	0.0925	0.0	0.0405	0.0	0.0	0.008199999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.637649		$\gamma$
